Language_ID,Language_Name,ISO_Code,Family_ID,Genus_ID,Status,Macroarea,Latitude,Longitude,Countrycodes
zays1235,Zayse,zay,2,259,unknown,Africa,5.83747,37.3409,ET
diml1238,Zazaki,diq,24,138,unknown,Eurasia,38.6147,39.6388,TR
chim1300,Zoque (Chimalapa),zoh,188,386,safe,North America,16.6543,-94.6913,MX
zena1248,Zenaga,zen,2,113,severely endangered,Africa,16.82,-16.1711,MR
fran1266,Zoque (Francisco León),zos,188,386,unknown,North America,17.3654,-93.3633,MX
jang1254,Zhang-Zhung,jna,18,56,definitely endangered,Eurasia,31.5666,78.4344,IN
guib1245,Zhuang (Northern),zgb,117,233,safe,Eurasia,23.6818,107.184,CN
zima1244,Zimakani,zik,50,152,unknown,Papunesia,-7.3701,141.452,PG
zulu1248,Zulu (Northern),zul,4,31,unknown,Africa,-25.3305,31.3512,ZA
sout3005,Zapotec (Ixtlan),zpd,42,188,safe,North America,17.2588,-96.6199,MX
zapa1253,Zaparo,zro,49,79,critically endangered,South America,-1.99871,-76.364,PE EC
copa1236,Zoque (Copainalá),zoc,188,386,unknown,North America,17.2157,-93.3183,MX
rayo1235,Zoque (Rayon),zor,188,386,safe,North America,17.2953,-93.1006,MX
high1276,Zoque (Soteapan),poi,188,386,vulnerable,North America,18.198,-94.9109,MX
sanj1284,Zapotec (San Lucas Quiaviní),zab,42,188,unknown,North America,17.0332,-96.5967,MX
texm1235,Zapotec (Texmelucan),zpz,42,188,safe,North America,16.49197,-97.08947,MX
zuni1245,Zuni,zun,254,542,vulnerable,North America,35.0056,-108.782,US
yatz1235,Zapotec (Yatzachi),zav,42,188,safe,North America,17.1869,-96.284,MX
zoog1238,Zapotec (Zoogocho),zpq,42,188,unknown,North America,17.2016,-96.3433,MX
